Date, Reference Ozone Concentration (ppb),Temperature (C),Relative Humidity,Sensor Ozone Signal (1/uV)
9/1/14 2:15,4.066666667,24.77761905,41.21015873,7.63803
9/1/14 2:30,8.6,24.52968254,41.58269841,8.14248
9/1/14 2:45,7.666666667,24.17507937,42.01301587,8.407062
9/1/14 3:00,1.933333333,23.85809524,44.00936508,7.612833
9/1/14 3:15,6.933333333,23.56031746,44.58428571,7.884461
9/1/14 3:30,3.733333333,23.32571429,45.60809524,7.835431
9/1/14 3:45,5.2,23.08888889,46.46873016,7.670392
9/1/14 4:00,10.6,22.8747619,46.70857143,8.244131
9/1/14 4:15,2.866666667,22.7315873,47.54063492,7.867231
9/1/14 4:30,0,22.60126984,48.51047619,7.363942
9/1/14 4:45,0,22.46555556,48.97444444,7.302824
9/1/14 5:00,0,22.28571429,49.04650794,7.493666
9/1/14 5:15,0.2,22.10126984,49.32507937,7.500893
9/1/14 5:30,0,21.91984127,49.81269841,7.446016
9/1/14 5:45,0.266666667,21.76380952,49.8615873,7.516016
9/1/14 6:00,0.333333333,21.62587302,50.16190476,7.755755
9/1/14 6:15,0.266666667,21.64380952,50.75380952,7.537147
9/1/14 6:30,2.266666667,21.57111111,51.00857143,7.806788
9/1/14 6:45,0.4,21.3531746,49.5468254,8.793356
9/1/14 7:00,2.533333333,21.16031746,48.32793651,8.683666
9/1/14 7:15,14.53333333,20.99825397,46.82095238,9.835144
9/1/14 7:30,26.06666667,20.75333333,45.08777778,12.022901
9/1/14 7:45,28.06666667,20.48619048,43.43079365,13.388588
9/1/14 8:00,33.53333333,20.21365079,42.48269841,14.099953
9/1/14 8:15,32.13333333,19.98190476,41.15777778,15.44042
9/1/14 8:30,31.46666667,19.82587302,41.68952381,14.213839
9/1/14 8:45,34.06666667,19.64174603,41.48666667,14.465134
9/1/14 9:00,37.33333333,19.40666667,41.14634921,15.860628
9/1/14 9:15,34.6,19.20396825,41.14952381,15.645566
9/1/14 9:30,30.66666667,19.1,41.77746032,14.592116
9/1/14 9:45,28.66666667,19.1752381,42.06952381,13.412817
9/1/14 10:00,31.57142857,19.32857143,41.3622449,14.332375
9/1/14 11:00,33.11111111,19.18862434,42.56507937,13.895015
9/1/14 11:15,10.53333333,19.11666667,43.29031746,11.752854
9/1/14 11:30,0.2,19.02634921,46.07539683,8.798514
9/1/14 11:45,0.133333333,18.84190476,47.38412698,8.391273
9/1/14 12:00,0,18.70222222,48.83984127,8.462282
9/1/14 12:15,0.133333333,18.60103175,49.14253968,8.574228
9/1/14 12:30,0.916666667,18.62539683,49.64186508,8.356685
9/1/14 12:45,0.933333333,18.68603175,49.19650794,8.515124
9/1/14 13:00,0.866666667,18.77968254,48.61063492,8.506846
9/1/14 13:15,1.6,18.91333333,48.17793651,8.684385
9/1/14 13:30,1.8,19.26285714,48.38079365,8.311675
9/1/14 13:45,6.666666667,20.33825397,46.29047619,8.64411
9/1/14 14:00,10.6,21.75095238,42.34063492,9.916263
9/1/14 14:15,10.86666667,23.3252381,39.11269841,9.957955
9/1/14 14:30,10.46666667,24.83666667,36.91825397,9.751114
9/1/14 14:45,19.13333333,26.00380952,32.29444444,11.546286
9/1/14 15:00,26.13333333,27.03238095,29.28269841,12.839325
9/1/14 15:15,31.26666667,28.24301587,26.89079365,14.843437
9/1/14 15:30,32.86666667,28.96190476,25.70619048,15.408697
9/1/14 15:45,34.86666667,29.76555556,24.80365079,15.974846
9/1/14 16:00,37.86666667,30.77333333,24.23047619,16.622253
9/1/14 16:15,37.33333333,31.63460317,24.14809524,16.023195
9/1/14 16:30,38.93333333,32.83857143,23.35825397,15.704066
9/1/14 16:45,38.53333333,34.11793651,22.31206349,15.487868
9/1/14 17:00,40.73333333,35.07650794,21.41730159,15.835512
9/1/14 17:15,44.53333333,35.82825397,20.00238095,16.074299
9/1/14 17:30,47.53333333,36.64698413,17.89444444,16.489988
9/1/14 17:45,50.26666667,37.61603175,16.21,16.148049
9/1/14 18:00,50.73333333,38.3584127,15.64952381,16.062004
9/1/14 18:15,53.06666667,38.04412698,14.59936508,16.690952
9/1/14 18:30,51.73333333,37.51285714,14.94507937,16.46026
9/1/14 18:45,54.13333333,37.79793651,14.77349206,16.006504
9/1/14 19:00,55.33333333,38.62936508,14.48492063,15.834318
9/1/14 19:15,56.73333333,39.51349206,13.57079365,15.791057
9/1/14 19:30,57.66666667,39.68238095,13.36095238,15.134408
9/1/14 19:45,60.13333333,40.07809524,12.98396825,15.798977
9/1/14 20:00,60.73333333,41.34285714,12.43746032,15.058441
9/1/14 20:15,63.2,41.84698413,12.02571429,15.421899
9/1/14 20:30,62.33333333,41.75047619,12.27746032,14.603616
9/1/14 20:45,62.6,41.71650794,11.97650794,14.808895
9/1/14 21:00,63.8,40.81015873,12.44111111,15.178163
9/1/14 21:15,65.6,39.89301587,13.03253968,15.72484
9/1/14 21:30,67.8,39.24539683,13.40539683,16.20954
9/1/14 21:45,67.2,38.69809524,13.46634921,16.765575
9/1/14 22:00,68.2,37.98,14.02444444,16.560208
9/1/14 22:15,63.28571429,37.78639456,13.98452381,15.941007
9/1/14 22:30,67.2,37.00777778,14.49571429,16.601228
9/1/14 22:45,67.26666667,36.57777778,14.5868254,17.746979
9/1/14 23:00,65.4,36.44603175,15.04587302,16.970154
9/1/14 23:15,69.2,35.95603175,15.31269841,18.252934
9/1/14 23:30,67.73333333,35.15873016,15.97507937,18.145161
9/1/14 23:45,62.8,34.70968254,16.22365079,17.032551
9/2/14 0:00,59.13333333,34.26174603,16.38412698,17.440895
9/2/14 0:15,56.8,33.97253968,16.72126984,16.677697
9/2/14 0:30,51.33333333,33.72253968,16.64285714,15.626938
9/2/14 0:45,43.06666667,33.06619048,17.27825397,14.745465
9/2/14 1:00,48.13333333,32.3931746,18.19412698,14.365195
9/2/14 1:15,51,31.67936508,19.22634921,15.702109
9/2/14 1:30,46.53333333,30.75761905,20.06269841,15.643623
9/2/14 1:45,42.73333333,29.96333333,20.76285714,15.264956
9/2/14 2:00,36.46666667,29.38126984,21.49666667,13.342935
9/2/14 2:15,38.33333333,28.88396825,21.95746032,14.396709
9/2/14 2:30,32,28.46968254,22.5631746,12.78461
9/2/14 2:45,33.53333333,28.14111111,22.97825397,13.445737
9/2/14 3:00,25.86666667,27.81698413,23.39253968,12.118181
9/2/14 3:15,13.8,27.49904762,23.98301587,10.368322
9/2/14 3:30,16.46666667,27.20301587,24.37904762,10.161126
9/2/14 3:45,19.86666667,26.94777778,24.50253968,10.687204
9/2/14 4:00,21.73333333,26.71634921,24.49015873,11.042751
9/2/14 4:15,14.86666667,26.46761905,24.77619048,10.625021
9/2/14 4:30,4.533333333,26.28873016,25.44095238,9.197617
9/2/14 4:45,14.06666667,26.05015873,25.7531746,9.983203
9/2/14 5:00,9.533333333,25.84,26.1847619,9.867339
9/2/14 5:15,3.133333333,25.64492063,27.49650794,8.782691
9/2/14 5:30,19.66666667,25.06857143,29.15714286,10.602312
9/2/14 5:45,27.53333333,24.07079365,29.10460317,13.601917
9/2/14 6:00,28.86666667,23.08984127,30.07603175,14.434974
9/2/14 6:15,28.26666667,22.42333333,32.09714286,14.687369
9/2/14 6:30,25.35714286,21.94183673,33.63010204,13.991006
9/2/14 7:00,30.5,21.00714286,36.51428571,14.314928
9/2/14 7:15,24.4,20.8868254,36.7615873,14.171953
9/2/14 7:30,17.4,20.67873016,37.38968254,11.875813
9/2/14 7:45,21.13333333,20.50603175,37.96444444,12.122612
9/2/14 8:00,21,20.2847619,38.40079365,13.273497
9/2/14 8:15,9.266666667,20.15031746,38.95349206,10.963004
9/2/14 8:30,8.733333333,20.01634921,39.08698413,10.379426
9/2/14 8:45,22.93333333,19.83777778,39.60809524,12.639689
9/2/14 9:00,29.66666667,19.7131746,39.69428571,14.155395
9/2/14 9:15,4.266666667,19.67365079,40.25904762,10.946432
9/2/14 9:30,2.6,19.57444444,40.94142857,9.891818
9/2/14 9:45,0.266666667,19.44095238,41.90349206,9.218343
9/2/14 10:00,0.066666667,19.18,42.83634921,9.093402
9/2/14 10:15,0,18.95698413,43.65222222,9.084879
9/2/14 10:30,0.133333333,18.75714286,44.59619048,8.696252
9/2/14 10:45,0.133333333,18.64857143,45.13539683,8.771441
9/2/14 11:00,2,18.52571429,45.48365079,8.983573
9/2/14 11:15,5.333333333,18.31428571,46.02904762,9.163903
9/2/14 11:30,10.86666667,18.13555556,45.64333333,9.621111
9/2/14 11:45,11.6,17.99714286,44.73333333,9.621846
9/2/14 12:00,11.93333333,17.89777778,43.52492063,10.448628
9/2/14 12:15,9.066666667,17.84079365,44.39222222,10.023547
9/2/14 12:30,10.46666667,17.7352381,44.86603175,10.18824
9/2/14 12:45,10.13333333,17.70380952,45.25095238,10.141498
9/2/14 13:00,10.93333333,17.82825397,45.28555556,9.940828
9/2/14 13:15,9.933333333,17.9584127,45.27825397,10.152611
9/2/14 13:30,11.46666667,18.26857143,44.58904762,10.302535
9/2/14 13:45,9.866666667,19.5031746,41.70222222,9.669547
9/2/14 14:00,11.66666667,21.05857143,36.85920635,10.20309
9/2/14 14:15,12.13333333,22.80650794,32.83746032,10.334307
9/2/14 14:30,14.73333333,24.34031746,29.04460317,11.249196
9/2/14 14:45,14.4,25.66936508,26.75238095,11.447885
9/2/14 15:00,19.73333333,27.0284127,24.79079365,12.199845
9/2/14 15:15,20.33333333,28.24809524,23.48571429,13.095535
9/2/14 15:30,17.13333333,29.35587302,22.51666667,12.833832
9/2/14 15:45,16.73333333,30.36920635,21.72,12.16827
9/2/14 16:00,20.4,31.32587302,20.63666667,13.202842
9/2/14 16:15,27.66666667,32.47492063,19.40619048,14.980027
9/2/14 16:30,27.93333333,33.57888889,18.63714286,15.298689
9/2/14 16:45,30.53333333,34.82793651,17.59507937,15.928398
9/2/14 17:00,29.33333333,35.8068254,16.79825397,15.327721
9/2/14 17:15,29.73333333,36.3831746,16.66333333,14.835048
9/2/14 17:30,36.06666667,36.88857143,16.22952381,15.058081
9/2/14 17:45,33.8,38.20857143,16.0515873,14.083248
9/2/14 18:00,37.6,38.74380952,15.91492063,13.587543
9/2/14 18:15,44.46666667,39.48301587,15.1584127,14.072866
9/2/14 18:30,43.86666667,40.76380952,14.38730159,13.933429
9/2/14 18:45,42.93333333,41.4147619,14.3868254,12.827039
9/2/14 19:00,48.57142857,41.39098639,13.86632653,13.70278
9/2/14 19:15,48.6,41.41142857,13.23857143,13.88338
9/2/14 19:30,49.13333333,41.69650794,12.18555556,13.68851
9/2/14 19:45,52.86666667,42.12222222,11.03063492,14.753753
9/2/14 20:00,50.93333333,42.8531746,9.529047619,15.079346
9/2/14 20:15,45,43.45936508,9.764126984,13.687023
9/2/14 20:30,47.14285714,43.24285714,9.786564626,13.365763
9/2/14 20:45,47.26666667,42.73730159,9.761428571,13.264833
9/2/14 21:00,46.92307692,41.80641026,10.21593407,13.255966
9/2/14 21:15,45.33333333,41.20920635,10.49285714,13.668019
9/2/14 21:30,47.4,40.66746032,10.86142857,13.796426
9/2/14 21:45,53.85714286,40.30595238,11.18503401,14.282591
9/2/14 22:00,55.06666667,39.90952381,11.22460317,14.705882
9/2/14 22:15,53.78571429,39.49812925,11.46479592,14.677617
9/2/14 22:30,54.13333333,39.4315873,11.48365079,13.838246
9/2/14 22:45,59.58333333,39.2577381,11.83769841,14.176418
9/2/14 23:00,54.45454545,38.8452381,11.52575758,13.659748
9/2/14 23:15,55.73333333,38.44428571,11.79333333,14.634146
9/2/14 23:30,56.2,37.99015873,11.97746032,14.004357
9/2/14 23:45,57.53333333,37.80873016,11.74984127,15.589815
9/3/14 0:00,52.13333333,37.56047619,11.98714286,14.024933
9/3/14 0:15,50.86666667,37.09412698,12.47206349,14.444572
9/3/14 0:30,48.76923077,36.50091575,14.00274725,13.430743
9/3/14 0:45,50.73333333,35.91888889,19.83460317,12.487611
9/3/14 1:00,48.2,35.21793651,22.20857143,12.356575
9/3/14 1:15,44.6,34.54460317,23.00603175,11.483568
9/3/14 1:30,40.26666667,33.98492063,23.60238095,11.156564
9/3/14 1:45,41.26666667,33.45333333,24.57349206,10.847107
9/3/14 2:00,37.53333333,32.96746032,25.28539683,10.732721
9/3/14 2:15,36.6,32.56,25.75126984,10.551703
9/3/14 2:30,37.8,32.13619048,26.22380952,10.823812
9/3/14 2:45,39.8,31.69174603,26.32492063,11.763608
9/3/14 3:00,38.6,31.30190476,26.67904762,11.662779
9/3/14 3:15,35.93333333,30.9415873,26.93730159,10.768863
9/3/14 3:30,35.26666667,30.59904762,27.36571429,11.256835
9/3/14 3:45,28.73333333,30.23634921,27.72857143,10.395353
9/3/14 4:00,29.66666667,29.93111111,27.96111111,10.424078
9/3/14 4:15,19.26666667,29.54396825,29.19396825,9.383238
9/3/14 4:30,27.5,29.12309524,30.27380952,9.749756
9/3/14 4:45,31.2,28.84333333,30.02333333,10.684304
9/3/14 5:00,31.66666667,28.52968254,30.0747619,11.075949
9/3/14 5:15,33.21428571,28.28571429,30.025,11.57412
9/3/14 5:30,31.5,28.02602041,30.32091837,10.565278
9/3/14 5:45,31.66666667,27.81365079,30.07,11.051662
9/3/14 6:00,31.06666667,27.48412698,30.16873016,11.316688
9/3/14 6:15,29.06666667,27.14793651,30.54920635,10.989203
9/3/14 6:30,31.2,26.83444444,29.77174603,11.661268
9/3/14 6:45,34,26.7,29.4,12.08981
9/3/14 7:00,33.66666667,26.18095238,29.94206349,13.282732
9/3/14 7:15,34.26666667,25.99015873,30.29968254,12.989691
9/3/14 7:30,36.4,25.79714286,31.4167619,12.990226
9/3/14 7:45,34.66666667,25.70571429,32.20873016,13.118441
9/3/14 8:00,35,25.55174603,32.40539683,13.059701
9/3/14 8:15,29.23076923,25.34981685,30.21043956,12.993503
9/3/14 8:30,32.53333333,25.09571429,29.49444444,12.450839
9/3/14 8:45,40.13333333,25,30.03301587,14.846235
9/3/14 9:00,36.86666667,24.98761905,29.37809524,14.776245
9/3/14 9:15,34.6,24.81746032,29.04888889,14.323065
9/3/14 9:30,37,24.69793651,29.6947619,14.648778
9/3/14 9:45,36,24.66253968,30.4847619,14.895026
9/3/14 10:00,34.4,24.63412698,30.38238095,14.248558
9/3/14 10:15,34.4,24.52079365,29.71396825,14.371421
9/3/14 10:30,31.73333333,24.41460317,29.82047619,14.000933
9/3/14 10:45,31.06666667,24.28777778,30.4447619,13.629873
9/3/14 11:00,28.26666667,24.13301587,30.88698413,13.318676
9/3/14 11:15,27.2,23.95730159,30.53285714,13.041858
9/3/14 11:30,26.53333333,23.73365079,30.37825397,12.802796
9/3/14 11:45,25.33333333,23.54190476,30.01349206,12.869487
9/3/14 12:00,22.93333333,23.41507937,29.78587302,12.758202
9/3/14 12:15,20,23.31507937,29.81190476,11.721366
